

Sat Feb 24 10:39:50 PST 2024
  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   644     1   0  9:23AM ??         0:02.21 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   645     1   0  9:23AM ??         0:00.52 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  501   646     1   0  9:23AM ??         0:14.31 /System/Volumes/Preboot/Cryptexes/App/System/Library/CoreServices/Web App.app/Contents/MacOS/Web App --bundlepath /Users/abrahamreines/Applications/ChatGPT.app --sandboxextension 0b0d8e8dbea0ceea147c1a768f51c4ecb4280dada5f1bc770e35817e4088cefa;00;00000000;00000000;00000000;000000000000001a;com.apple.app-sandbox.read;01;0100000d;00000000045949ae;01;/users/abrahamreines/applications/chatgpt.app --bundleidentifier com.apple.Safari.WebApp.FE5EC38A-66D4-455B-8500-EC35CA479791 --
  501   647     1   0  9:23AM ??         0:25.87 /System/Applications/Mail.app/Contents/MacOS/Mail
  501   648     1   0  9:23AM ??         0:00.86 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  501   649     1   0  9:23AM ??         0:00.70 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501   650     1   0  9:23AM ??         0:00.41 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   651     1   0  9:23AM ??         0:22.55 /Applications/Visual Studio Code.app/Contents/MacOS/Electron
  501   652     1   0  9:23AM ??         0:00.13 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  501   653     1   0  9:23AM ??         0:00.28 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  501   654     1   0  9:23AM ??         1:29.82 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
    0   655     1   0  9:23AM ??         0:00.88 /System/Library/CoreServices/osanalyticshelper server-init
  501   656     1   0  9:23AM ??         0:22.68 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  501   658     1   0  9:23AM ??         0:01.04 /usr/libexec/pkd
  501   660     1   0  9:23AM ??         0:01.17 /usr/libexec/ContinuityCaptureAgent server
    0   662     1   0  9:23AM ??         0:00.05 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
    0   664     1   0  9:23AM ??         0:00.20 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
  501   665     1   0  9:23AM ??         0:08.18 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  501   666     1   0  9:23AM ??         0:01.63 /usr/libexec/transparencyd
  501   667     1   0  9:23AM ??         0:00.04 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
  501   668     1   0  9:23AM ??         0:00.25 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  501   669     1   0  9:23AM ??         0:00.47 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  259   670     1   0  9:23AM ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  501   671     1   0  9:23AM ??         0:00.72 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  268   672     1   0  9:23AM ??         0:43.50 /usr/libexec/nearbyd
